# Blow the Mag
#
0, 96, 256
0, 96, 245
0, 97, 235
0, 97, 224
0, 97, 213
0, 97, 202
0, 98, 192
0, 103, 183
0, 108, 174
0, 114, 165
0, 119, 156
0, 127, 148
0, 136, 141
0, 143, 133
0, 151, 125
0, 161, 121
0, 171, 117
0, 181, 112
0, 191, 110
0, 202, 110
0, 214, 110
0, 224, 111
0, 234, 115
0, 245, 119
0, 253, 126
0, 262, 131
0, 271, 136
0, 280, 141
0, 287, 149
0, 292, 158
1, 299, 170
0, 194, 161
0, 199, 168
0, 204, 174
0, 210, 180
0, 217, 187
0, 224, 195
0, 233, 202
0, 241, 207
0, 251, 211
0, 261, 215
0, 271, 216
0, 281, 218
0, 293, 219
0, 304, 220
0, 315, 221
0, 326, 221
0, 336, 217
0, 345, 213
0, 353, 209
0, 362, 205
0, 371, 200
0, 378, 194
0, 382, 184
0, 386, 174
0, 391, 165
0, 397, 155
0, 401, 145
0, 402, 134
0, 405, 122
