# Stab & twist
#
0, 181, 77
0, 190, 71
0, 199, 66
0, 209, 62
0, 219, 58
0, 229, 54
0, 240, 54
0, 251, 54
0, 261, 56
0, 271, 57
0, 281, 60
0, 290, 65
0, 300, 69
0, 309, 74
0, 318, 79
0, 325, 87
0, 332, 95
0, 338, 104
0, 344, 113
0, 347, 123
0, 350, 133
0, 355, 142
0, 355, 153
0, 356, 163
0, 357, 173
0, 358, 183
0, 354, 193
0, 353, 203
1, 351, 213
0, 312, 255
0, 303, 260
0, 294, 265
0, 284, 270
0, 274, 275
0, 264, 275
0, 254, 275
0, 244, 275
0, 233, 275
0, 223, 273
0, 213, 272
0, 203, 270
0, 193, 265
0, 184, 259
0, 175, 255
0, 168, 245
0, 153, 239
0, 147, 230
0, 142, 219
0, 137, 210
0, 134, 199
0, 133, 188
0, 133, 177
0, 135, 167
0, 138, 157
0, 138, 146
0, 141, 136
0, 146, 126
1, 157, 108
1, 250, 160
